id,sentence,topic,sentiment
80,nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi .,1,0
81,gần gũi sinh viên .,0,2
82,"dễ hiểu , vui tính .",0,2
83,mong các thầy cô hãy đưa bài này đến thầy wzjwz54 !,0,0
84,"giảng viên nhiệt tình , tận tâm trong quá trình giảng dạy .",0,2
85,chưa có sự tương tác tốt với giáo viên lý thuyết .,1,0
86,giáo viên truyền đạt kiến thức dễ hiểu .,0,2
87,"đề thi thực hành cần nêu yêu cầu cụ thể , rõ ràng hơn .",1,0
88,nếu nghỉ học thì mong thầy báo sớm cho tụi em và mong thầy giải hoặc hướng tụi em cách làm một bài tập cũ hoặc mới một cách cụ thể hơn .,0,0
89,giảng viên tận tình giúp đỡ .,0,2
90,em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .,1,1
91,đôi khi hơi buồn ngủ .,0,0
92,giảng viên tích cực .,0,2
93,giảng viên không sử dụng hiệu quả thời gian trên lớp mỗi buổi học .,0,0
94,"cách dạy sinh động , không máy móc .",0,2
95,"tận tình , gần gũi .",0,2
96,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,0,2
97,giảng viên hướng dẫn rất nhiệt tình .,0,2
98,giáo viên hơi hiền với lớp nên lớp luôn ồn ào và không tập trung .,0,0
99,"thầy không chịu dạy thực hành , nên cũng rất chán khi học thực hành , nói chung là không ai đi học thực hành là do thầy không dạy tốt , thực ra thì chưa dạy gì cả .",0,0
100,"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .",0,2
101,"thầy nguyên dạy rất nhiệt tình , tận tâm colonsmile .",0,2
102,"sống có đạo đức , thương sinh viên .",0,2
103,dạy dễ hiểu và tận tâm .,0,2
104,"thầy vui tính , hòa đồng với sinh viên , giúp sinh viên tự chủ trong học tập .",0,2
105,cô hay trao đổi với lớp .,0,0
106,"thưa , thầy dạy rất dễ hiểu và tốc độ vừa phải .",0,2
107,sinh viên chưa tiếp xúc được với giáo viên .,0,0
108,giúp sinh viên làm việc nhóm hiệu quả hơn .,0,2
109,phải nói là hiểu biết của thầy trong lĩnh vực thương mại điện tử rất rộng .,0,2
110,giảng viên giảng dạy nhiệt tình và hiệu quả .,0,2
111,cái máy chiếu ở giảng đường 3 quá mờ .,2,0
112,"phòng lab thực hành đã quá cũ nát , nên cải tiến và xây dựng hệ thống phòng lab để sinh viên có thể thực hành các kỹ năng của môn học này .",2,0
113,không thực hành được buổi nào .,3,0
114,thầy hơi khó chịu .,0,0
115,truyền đạt không tốt .,0,0
116,"thầy không nhiệt tình trong cách dạy , cũng như hướng dẫn sinh viên thực hành .",0,0
117,điều đó dẫn đến nhiều sinh viên cũng sẽ phát âm như vậy .,0,0
118,đi dạy đúng giờ .,0,2
119,"truyện đạt kiến thức dễ hiểu dễ tiếp thu , gần gũi , nhiệt tình .",0,2
120,đôi khi giảng khó hiểu .,0,0
121,em không học giáo viên này ạ !,0,1
122,hướng dẫn và đánh giá đúng kết quả học tập .,0,2
123,"giảng viên vui tính , khả năng truyền đạt tốt .",0,2
124,"thầy rất tận tình , có tâm , quan tâm đến việc học của sinh viên .",0,2
125,"rất có tâm , nhiệt tình và tận tụy với sinh viên .",0,2
126,không học gì .,1,0
127,để ra hơi khó .,2,0
128,"giáo viên thường xuyên gây cười , tạo hứng thú học tập .",0,2
129,liên hệ thực tế đến các môn lập trình .,1,0
130,thầy dạy nhiệt tình và đến lớp đúng giờ .,0,2
131,"các nội dung môn học thầy triển khai không đúng theo khung , mới vào mà thầy dạy servlet thì rất khó hiểu , sinh viên có góp ý qua thầy chủ nhiệm nhưng vẫn không thay đổi .",0,0
132,thầy dạy quá khó hiểu .,0,0
133,nên cho thêm bài tập .,1,0
134,"quản lý thời gian thực hành chưa hợp lý , tiết thực hành hơi nhàm chán .",0,0
135,trời nóng quá học không hứng khởi .,3,0
136,"thầy tận tâm , giảng bài dễ hiểu .",0,2
137,"giảng viên nhiệt tình , tâm huyết , giảng dạy dễ hiểu .",0,2
138,cập nhật tin tức môn học trên các kênh thông tin course và cung cấp các tài liệu trên đó .,1,0
139,mong có sự hỗ trợ trong thực hành .,0,0
140,"đi trễ 2h đồng hồ , nghỉ không thông báo , nhờ người dạy thay thế .",0,0
141,"thoải mái , lắng nghe ý kiến sinh viên .",0,2
142,cần sắp xếp phòng học cho phù hợp với số lượng sinh viên để sinh viên tiếp thu tốt hơn .,2,0
143,hay lên lớp muộn .,0,0
144,"buổi góp ý đánh giá trước khi hoàn chỉnh đồ án thầy xem sơ sài , không chỉ ra chỗ sai lớn nhất đến bài chính thức thì thầy chấm kỹ .",0,0
145,thầy dạy nhiệt tình và dễ hiểu .,0,2
146,"nên gửi thêm nhiều kiến thức , tài liệu , bài tập hơn lên hệ thống môn học .",0,0
147,cần thêm nhiều tiết học hơn .,1,0
148,giảng viên cho làm nhiều bài tập liên quan đến bài học .,0,2
149,"thầy nên cho nhiều ví dụ bên ngoài , sinh động hơn , giúp sinh viên thảo luận nhiều hơn .",0,0
150,thời gian môn học nên kéo dài hơn .,1,0
151,hay và tận tình .,0,2
152,"hơn nữa , giảng viên ghi chép trên bảng với cỡ chữ rất nhỏ , rất khó để thấy và ghi chép bài .",0,0
153,thầy không tổ chức đủ 3 buổi họp lớp ( chỉ được 1 buổi ) và sau buổi đó thì biệt tích đến gần cuối học kỳ sinh viên gửi mail thì trả lời rất trễ thậm chí một số sinh viên không được trả lời .,0,0
154,em có ý kiến là nên hủy môn vật lý kỹ thuật .,0,0
155,chào thầy fraction cô !,3,1
156,giảng viên giảng dạy nhiệt tình và tạo sự hứng thú cho sinh viên .,0,2
157,"thầy dạy nhiệt tình , dễ tính .",0,2
158,"giảng viên tận tình , dạy minh họa dễ hiểu .",0,2
159,giảng viên giải đáp các thắc mắc tại lớp tận tình .,0,2
160,giáo viên giảng dễ hiểu .,0,2
161,"bài thầy ghi chi tiết , giảng khá dễ hiểu .",0,2
162,"rất nhiệt tình chỉ bảo , hướng dẫn sinh viên .",0,2
163,sự nhiệt tình và tận tâm của thầy .,0,2
164,"vui tính , luôn giúp đỡ sinh viên khi sinh viên gặp khó khăn .",0,2
165,kiến thức rất nhiều và trừu tượng giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn .,0,0
166,em nghĩ kiểm tra đánh giá môn này bằng hình thức làm đồ án báo cáo sẽ hợp lý hơn là thi trên giấy .,1,0
167,chưa giới thiệu cụ thể các tài liệu cho sinh viên đọc thêm .,0,0
168,hiện tại em không nhớ nổi mặt của thầy fraction cô như nào nữa colondoublesurprise .,0,1
169,thầy dạy rất dễ hiểu và nhiệt tình .,0,2
170,phương pháp dạy phải cụ thể chi tiết hơn .,0,0
171,"thưa , em hoàn toàn hài lòng với chất lượng các buổi học của thầy và những kiến thức thầy mang lại thực sự bổ ích và phong phú .",1,2
172,"giảng viên có nhiều ví dụ , bài tập minh họa cho bài học .",0,2
173,"bài giảng của cô rất hay , tuy nhiên sinh viên không nắm được các phần quan trọng , và phủ đều lên toàn bộ bài giảng , do đó gây khó hiểu , mất tập trung , hoặc gây buồn ngủ .",1,0
174,thân mến .,3,1
175,"ngoài ra , các mặt còn lại em không có ý kiến .",3,1
176,"học một đàn ra thi một nẻo , thi đúng với nội dung môn học .",1,0
177,kiến thức ngữ pháp và viết đạt .,3,2
178,"slide bài giảng cứng nhắc , không trực quan , khó nắm bắt được nội dung bài học .",1,0
179,thầy giảng rất tận tâm .,0,2
180,giảng viên nên cho sinh viên làm bài tập nhiều lên .,0,0
181,"thầy dạy hay , dễ hiểu !",0,2
182,cần cho thêm nhiều bài tập về nhà .,0,0
183,"lần được học thầy , thấm nhiều thứ quá .",0,2
184,thầy dạy rất nhiệt tình và sẵn sàng giải đáp .,0,2
185,"dù cô rất nhiệt tình , muốn truyền đạt nhiều hơn nữa cho sinh viên nhưng cô nên phân bố thời gian dạy hợp lý hơn và giảng những điều quan trọng , còn những điều bên lề để bổ sung kiến thức cho sinh viên thì cô nên để thời gian còn nhiều thì mới nói thêm , không nên lặp đi lặp lại quá nhiều một câu nói , gây tốn thời gian colonsmile .",0,0
186,"sau giờ học thầy còn hỏi về tình hình buổi học có nhanh hay chậm quá không , có chỗ nào chưa rõ , tình hình thầy trợ giảng dạy sao .",0,2
187,"môn học này mặc dù phòng đào tạo cho sinh viên đăng ký nhưng em không thấy sắp xếp lịch học , phòng học .",1,0
188,dù sao em cũng cám ơn thầy đã dẫn dắt bọn em ở học kỳ hai này ạ .,2,1
189,giảng viên dạy nhiệt tình dễ hiểu .,0,2
190,"tuy nhiên , nếu được cô nên bổ sung các bài tập cá nhân về cả lý thuyết và thực hành , bên cạnh các bài tập nhóm thì sẽ giúp các bạn bổ trợ thêm kiến thức rất nhiều .",0,0
191,giảng viên nên tạo ra không khí vui vẻ để sinh viên có thể thoải mái nói bằng tiếng anh .,0,0
192,em mong là có phần khảo sát môn học ở giữa kỳ chứ cuối kỳ thì môn học đã qua đi rồi .,3,0
193,"em nghĩ việc học sẽ hiệu quả hơn , khi thầy dạy chúng em đầy đủ tiết .",0,0
194,càng cung cấp nhiều tài liệu trên mạng cho sinh viên sẽ càng cải tiến chất lượng môn học .,1,2
195,cũng tự học là chính vì là môn thực hành mà .,1,1
196,cần thêm phần ngôn ngữ sql kết hợp với ngôn ngữ lập trình c để có thể lập trình được cho một cơ sở dữ liệu .,1,0
197,"cô dạy rất nhiệt tình , giờ học của cô rất vui và thoải mái nên dễ tiếp thu hơn .",0,2
198,giảng dạy tận tình .,0,2
199,"giảng viên dạy không được cuốn hút lắm , hơi trầm .",0,0
200,tìm mọi cách hướng dẫn học hiệu quả nhất cho lớp và cung cấp đủ mọi tài liệu cho các bạn tham khảo và làm bàu tập tại lớp cũng như ở nhà .,0,2
201,"các hoạt động trong tiết học đa dạng , không gò bó , cứng nhắc gây nhàm chán mà giúp cho sinh viên cảm thấy thoải mái và sáng tạo trong học tập .",1,2
202,môn học này khi ra trường có thể sẽ không ứng dụng nhiều .,1,0
203,ic được cấp thường hư một phần .,2,0
204,cô dạy nên có ví dụ và bài tập hướng dẫn chi tiết cụ thể hơn !,0,0
205,cô chưa nắm bắt được thực trạng học của sinh viên .,0,0
206,thầy có những mẫu truyện hay và ý nghĩa .,0,2
207,"thầy rất vui tính , giảng hay và kỹ .",0,2
208,cách giảng dạy .,0,1
209,"không biết là học để làm gì , nên đi sâu vào chuyên ngành từng khoa .",1,0
210,hướng dẫn học sinh giải bài tập tốt .,0,2
211,"giảng viên vui vẻ , nhiệt tình , gần gũi với sinh viên .",0,2
212,"cung cấp và thường xuyên cập nhật thêm tài liệu về môn học nhiều hơn , sử dụng giờ lên lớp hiệu quả hơn .",0,0
213,cải thiện chất lượng máy chiếu .,2,0
214,"giảng viên dạy dễ hiểu , nhiệt tình .",0,2
215,giảng viên thụ động .,0,0
216,không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,0,0
217,"hiền , giảng bài hay , bài tập khá dễ chịu colonsmilesmile .",0,2
218,kiến thức giảng rất khó hiểu .,0,0
219,phòng máy cũ cần nâng cấp .,2,0
220,"dạy dễ hiểu , sâu rộng .",0,2
221,cải thiện chất lượng phòng máy .,2,0
222,lớp đã nghỉ 4 tuần liên tiếp chưa tính một vài ngày nghỉ khác .,0,0
223,máy chiếu trong phòng quá mờ .,2,0
224,giải thích thuật toán hơi nhanh .,0,0
225,"giảng viên rất nhiệt tình , tạo mọi điều kiện cho sinh viên hoàn thành tốt môn học .",0,2
226,giảng viên dạy tốt .,0,2
227,hay lan man dạy những thứ không cần thiết .,0,0
228,"chú trọng vào thực tế hơn lý thuyết , tăng sự thích thú cho học sinh .",1,2
229,đôi khi một số điều thầy nói sinh viên tự tìm hiểu mà không giải thích thêm .,0,0
230,số lượng bài tập chưa nhiều .,1,0
231,"thầy còn chia sẻ , truyền lại những chiêu mà em hiếm được thấy ( thầy rất là pro ) .",0,2
232,"nhiệt tình , giảng dạy chi tiết cụ thể .",0,2
233,"nhiệt thình , hiền lành .",0,2
234,thầy trang bị cho những kỹ năng chuyên sâu và hướng mở của môn học .,0,2
235,"cập nhật bài giảng trên trang coursedotuitdotedudotvn đầy đủ , có bài tập hàng tuần .",1,2
236,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",0,2
237,nêu rõ mục đích cũng như ứng dụng của môn học ngay từ đầu .,0,0
238,"giáo viên vui tính , tích cực .",0,2
239,hơi áp dụng vào slide nhiều .,0,0
240,giảng viên giảng dạy khá nhanh khiền nhiều sinh viên không theo kịp đặc biệt là phần lý thuyết .,0,0
241,"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,0
242,"nên tăng cường học nghe , nói .",1,0
243,"giảng viên dạy nhiệt tình , chu đáo , tận tâm , tạo mọi điều kiện cho sinh viên phát triển kỹ năng suy luận .",0,2
244,thầy giảng thực tế vào bài tập .,0,2
245,không mang lại hiệu quả .,1,0
246,"giảng viên nhiệt tình trong giảng dạy , hệ thống tài liệu học tập được update tốt .",0,2
247,"cách dạy lôi cuốn sinh viên , nói chuyện thực tế , gần gũi với sinh viên .",0,2
248,"cô giảng dạy rất có tâm với nghề , đôi khi cô còn cho tụi em thêm bài tập tự luyện .",0,2
249,"lớp thụ động , nhàm chán .",0,0
250,thầy rất đúng giờ !,0,2
251,trình bày ý trong slide rất chi tiết .,0,2
252,về chuyên môn thì khỏi chê vào đâu cả .,0,2
253,"phương pháp dạy trực quan , dễ hiểu , có nhiều hoạt động cho sinh viên .",0,2
254,thầy chỉ giao bài tập trên courses .,0,0
255,"ngoài ra , môn này khi đánh giá đồ án cuối kỳ thì chỉ nên đánh giá vào cách trình bày file báo cáo , cách báo cáo , cách thuyết trình .",1,0
256,"thầy dạy hay , hướng dẫn cụ thể .",0,2
257,"phương pháp học khiến sinh viên phải chủ động , em đã cải thiện rất nhiều khả năng nói của bản thân .",0,2
258,chưa có sự tương tác nhiều với sinh viên .,0,0
259,"thầy rất vui tính , có thể do thầy trẻ nên thầy hiểu được tụi em và có phương pháp dạy khá trẻ trung và hay .",0,2
260,giải đáp rất mơ hồ .,0,0
261,kết thúc môn học mà không được cái gì hết .,1,0
262,cách giảng bài của thầy chưa thu hút được nhiều sinh viên .,0,0
263,"nhưng thầy rất ra dáng một doanh nhân thành đạt , một người diễn thuyết tạo cảm hứng nhiều hơn là kiến thức phù hợp với sinh viên .",0,2
264,giảng bài dễ hiểu và vui tính .,0,2
265,thầy dậy rất nhiệt tình .,0,2
266,cô up slide chậm .,0,0
267,quá nghiêm khắc .,0,0
268,"anh wzjwz232 ơi , cho đề cuối kỳ dễ dễ đi .",0,0
269,thầy dạy tốt mà ạ  colonhihi !,0,2
270,sinh viên cần đi học chăm nghe thầy giảng và làm bài tập thầy cho .,0,2
271,nghiêm khắc .,0,2
272,"khả năng nghe , đọc hiểu được nâng cao .",1,2
273,"sử dụng thời gian lên lớp không hiệu quả , khâu chuẩn bị nội dung chưa tốt .",0,0
274,tận tâm với bài giảng .,0,2
275,làm bài tập khá nhiều .,0,0
276,đề thi thực hành quá dài .,1,0
277,nên nêu ra những ví dụ áp dụng cho thuc tiễn tốt hơn và dạy sinh viên nhũng kiến thức cơ bản trước đã .,0,0
278,giảng viên cần nhiệt tình hơn trong giảng dạy .,0,0
279,không nên quá chú trọng vào việc dạy học chạy kịp chương trình để thi mà quên đi khả năng tiếp thu của sinh viên .,1,0
280,deadline dài hơn một chút .,1,1
281,"thầy còn nhiều lúc giảng chưa kỹ lướt qua quá nhanh chưa kịp đọc bài , chỉ dẫn chưa rõ ràng .",0,0
282,cần có các thiết bị thực hành đầy đủ .,2,0
283,cô vui tính colonsmilesmile .,0,2
284,"không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian !",0,0
285,"lớp sỉ số nên ít hơn , tầm 50 sinh viên là ok .",1,0
286,giảng viên hay lên lớp muộn .,0,0
287,"thầy dạy dễ hiểu , sẵn sàng giúp đỡ sinh viên , tận tâm , nhiệt tình .",0,2
288,"luôn trả lời những thắc mắc của sinh viên , dạy tận tình .",0,2
289,được học tập theo nhóm .,1,2
290,giảng viên dạy khá tích cực .,0,2
291,wzjwz217 là thầy nào ?,3,0
292,nội dụng môn học không liên quan đến đề thi .,1,0
293,cách diễn đạt của giảng viên chưa tốt và dạy không hấp dẫn học sinh .,0,0
294,tích cực .,3,2
295,"giảng viên không giới thiệu về nội dung học và kiểm tra ( thi ) , nội dung kiểm tra ( thi ) quá dài so với thời gian làm và phân bố điểm không phù hợp .",0,0
296,số thời gian thầy nghỉ rất nhiều và không báo trước cho sinh viên .,0,0
297,"khắc phục khuyết điểm "" tôi không có lý do gì để xem bài tập của em cả "" .",0,0
298,"khó tiếp thu , trình bày quá nhanh không kịp nghe .",0,0
299,"slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ .",0,2
300,không nên dạy các môn toán trong giảng đường do khó quan sát bảng .,1,0
301,thầy dạy hay và tốt với em .,0,2
302,mong thầy dạy đúng số tiết mà môn đó quy định .,0,0
303,điều này gây lên sự chênh lệch rõ rệt về trình độ anh văn trong lớp .,1,0
304,"thầy chuẩn bị tài liệu , slide khá ok , đủ để người xem hiểu được .",0,2
305,thầy cho học cực kỳ ít buổi và cũng không bù .,0,0
306,nội dung thi nặng đối với sinh viên không chuyên .,1,0
307,"thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học .",1,0
308,"học kỳ này em học lại môn game , và giờ của thời khoá biểu là tiết 1 - 2 ngày thứ 4 thế nhưng em không hiểu lý do gì lại chuyển sang thứ 7 vào tiết 6 - 7 và em bị kẹt giờ học anh văn bên ngoài nên không học được .",1,0
309,"giảng viên tận tình , nhiệt huyết .",0,2
310,"phòng học thoáng mát , trang thiết bị đầy đủ .",2,2
311,vấn đề điểm kiểm tra cuối kỳ gây nhiều tranh cãi trong sinh viên .,1,0
312,"cô dạy khô khan , nội dung nhiều phần thiếu sót nội dung , thiếu công thức .",0,0
313,cô dạy giỏi chu đáo .,0,2
314,có thêm đồ án mang tính chất sáng tạo .,1,0
315,nên upload nội dung học sau mỗi bữa vào module để sinh viên không đi học bữa đó nắm được mình sẽ cần chuẩn bị những gì vào buổi sau .,0,0
316,"cô dạy rất nhiệt tình , luôn trao đổi trên lớp và trên website môn học .",0,2
317,thiếu nhiệt tình .,0,0
318,làm cho một phần học sinh ( chủ yếu khá và giỏi ) cảm thấy chán trong việc lên lớp .,0,0
319,"bảo đảm giờ lên lớp , số tiết dạy .",0,2
320,giao viên dạy rất nhiệt tình .,0,2
321,tận tình giúp đỡ các bạn sinh viên .,0,2
322,"thầy luôn yêu cầu ý tưởng sinh viên phải thực tế , có thể thực hiện được trong tương lai , nếu sinh viên làm được thì sinh viên đã không phải đi học thầy yêu cầu đề án phải đủ lớn , phải mang tầm vóc quốc tế nhưng nó phải khả thi .",0,0
323,giảng đường nên gắn thêm quạt hoặc máy lạnh .,2,0
324,giáo viên giảng dạy có tâm huyết .,0,2
325,nên tăng bài tập và thời gian thực hành .,1,0
326,giải bài tập giúp sinh viên rèn khá nhiều .,0,2
327,cô rất nhiệt tình và dễ thương .,0,2
328,giảng viên cần cập nhập giáo trình và tài liệu môn học một cách đầy đủ hơn trước giờ lên lớp .,0,0
329,"cô giảng dạy tận tình , không khí học tập vui vẻ .",0,2
330,rất không hài lòng .,3,0
331,"vui tính , dạy dễ hiểu .",0,2
332,cô dạy tâm huyết và nhiệt tình .,0,2
333,"thầy dạy dễ hiểu , có cho làm bài tập .",0,2
334,giải đáp thắc mắc sinh viên kỹ lưỡng .,0,2
335,"giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực .",0,2
336,giáo viên nhiệt tình vui vẻ .,0,2
337,"giảng dạy nhiệt tình , hài hước .",0,2
338,giảng viên rất đúng giờ .,0,2
339,"thầy khá hiền , ít nói .",0,0
340,"tuy tận tâm , nhiệt tình nhưng kiến thức thầy dạy khá cao siêu , sinh viên chưa đủ lĩnh hội được .",0,0
341,"nên cho sinh viên tham gia làm các đề tài thực tế , có sự hướng dẫn của giáo viên .",1,0
342,dạy nhưng toàn kêu sinh viên về tự nghiên cứu và code .,0,0
343,"giảng viên nên hòa nhã , thoải mái để sinh viên có thể tương tác tốt với giảng viên , giảng viên nên diễn đạt câu từ một cách ngắn gọn dễ hiểu , nên dạy kỹ những phần kiến thức quan trọng .",0,0
344,em thích đi học tiết của thầy nhất .,0,2
345,"nhiệt tình , lên lớp đều và có phương pháp giảng dạ tốt .",0,2
346,chưa có nhiều kinh nghiệm trong giảng dạy .,0,0
347,dạy dễ hiểu và hiệu quả .,0,2
348,"thầy có hơi khó khăn trong phần điểm danh , vài lần em vào trễ nhưng không được thầy điểm danh .",0,0
349,em rất mong phòng đào tạo cho em biết được tên giảng viên khi đăng ký môn học để sau nay em còn đc học thầy wzjwz155 .,0,0
350,dạy thực tế .,0,2
351,dạy đến khi các bạn hiểu rõ thì hãy tiếp tục .,0,0
352,"phương pháp truyền đạt khó tiếp thu , lượng kiến thức nhiều nhưng không tập trung .",0,0
353,"em nghĩ là "" dục tốc bất đạt "" .",3,0
354,thầy dạy nhiệt tình và luôn tạo cảm giác thoải mái cho sinh viên khi tiếp thu kiến thức .,0,2
355,còn đi trễ .,0,0
356,môn học rất hay .,1,2
357,"thầy dạy ổn , đúng với lý thuyết .",0,2
358,như vậy có đảm bảo được chất lượng giảng dạy không .,1,0
359,thầy giảng có tâm huyết và thân thiện .,0,2
360,giọng cực khó nghe .,0,0
361,"thầy nên cập nhật những kiến thức mới , thay vì vẫn sử dụng những nội dung kiến thức cũ .",0,0
362,mong được là học trò của thầy nhiều hơn ạ .,0,2
363,vì môn học này không hay .,1,0
